taxonid,taxoncode,taxonname,author,ecolgroup,highertaxonid,status,taxagroupid,publicationid,uncertaintytype,certainty_level_conservative,certainty_level_permissive,taxonname_updated,taxonname_updated_original,MDD_species,MDD_species_id,MDD_normalized_original_combination,MDD_validity,sciName,subclass,infraclass,magnorder,superorder,order,suborder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet
15366,[?Mms.fl],?Mammuthus floridanus,"(Osborn, 1929)",NA,NA,extinct,MAM,1602,?,family,species,Mammuthus floridanus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15365,[Mms.fl],Mammuthus floridanus,"(Osborn, 1929)",NA,NA,extinct,MAM,1602,NA,NA,NA,Mammuthus floridanus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6175,Mms.ha,Mammuthus hayi,"(Barbour, 1915)",PROB,6847,extinct,MAM,1601,NA,NA,NA,Mammuthus hayi,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7065,?Mms.im,?Mammuthus imperator,"(Leidy, 1858)",PROB,19273,extinct,MAM,1602,?,family,species,Mammuthus imperator,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13576,Mms.?im,Mammuthus ?imperator,"(Leidy, 1858)",PROB,6847,extinct,MAM,1602,?,genus,species,Mammuthus imperator,Mammuthus ?imperator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7682,Mms.cf.im,Mammuthus cf. M. imperator,"(Leidy, 1858)",PROB,6847,extinct,MAM,1602,cf,genus,species,Mammuthus imperator,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6176,Mms.im,Mammuthus imperator,"(Leidy, 1858)",PROB,6847,extinct,MAM,1602,NA,NA,NA,Mammuthus imperator,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7214,cf.Mms.im,cf. Mammuthus imperator,"(Leidy, 1858)",PROB,19273,extinct,MAM,1602,cf,genus,species,Mammuthus imperator,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7066,?Mms.je,?Mammuthus jeffersonii,"(Osborn, 1922)",PROB,19273,extinct,MAM,1541,?,family,species,Mammuthus jeffersonii,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7680,Mms.cf.je,Mammuthus cf. M. jeffersonii,"(Osborn, 1922)",PROB,6847,extinct,MAM,1541,cf,genus,species,Mammuthus jeffersonii,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6177,Mms.je,Mammuthus jeffersonii,"(Osborn, 1922)",PROB,6847,extinct,MAM,1541,NA,NA,NA,Mammuthus jeffersonii,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7215,cf.Mms.je,cf. Mammuthus jeffersonii,"(Osborn, 1922)",PROB,19273,extinct,MAM,1541,cf,genus,species,Mammuthus jeffersonii,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13575,Mms.me,Mammuthus meridionalis,"(Nesti, 1825)",PROB,6847,extinct,MAM,1602,NA,NA,NA,Mammuthus meridionalis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13582,cf.Mms.me,cf. Mammuthus meridionalis,"(Nesti, 1825)",PROB,19273,extinct,MAM,1602,cf,genus,species,Mammuthus meridionalis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
